global_event_index,buffer,buffer_event_index,ideal_ready_cycle,actual_ready_cycle,pe_next_available_cycle,ideal_compute_start_cycle,actual_compute_start_cycle,actual_compute_end_cycle,exposed_bubble_cycles,buffer_ready_early_slack_cycles,row_switched_this_event,delay_when_needed_cycles
266,ping,133,4284,4515,4541,4284,4541,4557,0,26,0,231
267,pong,133,4300,4531,4557,4300,4557,4573,0,26,0,231
268,ping,134,4316,4549,4573,4316,4573,4589,0,24,0,233
269,pong,134,4332,4565,4589,4332,4589,4605,0,24,0,233
270,ping,135,4348,4583,4605,4348,4605,4621,0,22,0,235
271,pong,135,4364,4599,4621,4364,4621,4637,0,22,0,235
272,ping,136,4380,4653,4637,4380,4653,4669,16,0,1,273
273,pong,136,4396,4645,4669,4396,4669,4685,0,24,1,249
274,ping,137,4412,4661,4685,4412,4685,4701,0,24,0,249
275,pong,137,4428,4667,4701,4428,4701,4717,0,34,0,239
276,ping,138,4444,4685,4717,4444,4717,4733,0,32,0,241
277,pong,138,4460,4701,4733,4460,4733,4749,0,32,0,241
278,ping,139,4476,4719,4749,4476,4749,4765,0,30,0,243
279,pong,139,4492,4735,4765,4492,4765,4781,0,30,0,243
280,ping,140,4508,4753,4781,4508,4781,4797,0,28,0,245
281,pong,140,4524,4769,4797,4524,4797,4813,0,28,0,245
282,ping,141,4540,4787,4813,4540,4813,4829,0,26,0,247
283,pong,141,4556,4803,4829,4556,4829,4845,0,26,0,247
284,ping,142,4572,4821,4845,4572,4845,4861,0,24,0,249
285,pong,142,4588,4837,4861,4588,4861,4877,0,24,0,249
286,ping,143,4604,4855,4877,4604,4877,4893,0,22,0,251
287,pong,143,4620,4871,4893,4620,4893,4909,0,22,0,251
288,ping,144,4636,4925,4909,4636,4925,4941,16,0,1,289
289,pong,144,4652,4917,4941,4652,4941,4957,0,24,1,265
290,ping,145,4668,4933,4957,4668,4957,4973,0,24,0,265
291,pong,145,4684,4939,4973,4684,4973,4989,0,34,0,255
292,ping,146,4700,4957,4989,4700,4989,5005,0,32,0,257
293,pong,146,4716,4973,5005,4716,5005,5021,0,32,0,257
294,ping,147,4732,4991,5021,4732,5021,5037,0,30,0,259
295,pong,147,4748,5007,5037,4748,5037,5053,0,30,0,259
296,ping,148,4764,5025,5053,4764,5053,5069,0,28,0,261
297,pong,148,4780,5041,5069,4780,5069,5085,0,28,0,261
298,ping,149,4796,5059,5085,4796,5085,5101,0,26,0,263
299,pong,149,4812,5075,5101,4812,5101,5117,0,26,0,263
300,ping,150,4828,5093,5117,4828,5117,5133,0,24,0,265
301,pong,150,4844,5109,5133,4844,5133,5149,0,24,0,265
302,ping,151,4860,5127,5149,4860,5149,5165,0,22,0,267
303,pong,151,4876,5143,5165,4876,5165,5181,0,22,0,267
304,ping,152,4892,5197,5181,4892,5197,5213,16,0,1,305
305,pong,152,4908,5189,5213,4908,5213,5229,0,24,1,281
306,ping,153,4924,5205,5229,4924,5229,5245,0,24,0,281
307,pong,153,4940,5211,5245,4940,5245,5261,0,34,0,271
308,ping,154,4956,5229,5261,4956,5261,5277,0,32,0,273
309,pong,154,4972,5245,5277,4972,5277,5293,0,32,0,273
310,ping,155,4988,5263,5293,4988,5293,5309,0,30,0,275
311,pong,155,5004,5279,5309,5004,5309,5325,0,30,0,275
312,ping,156,5020,5297,5325,5020,5325,5341,0,28,0,277
313,pong,156,5036,5313,5341,5036,5341,5357,0,28,0,277
314,ping,157,5052,5331,5357,5052,5357,5373,0,26,0,279
315,pong,157,5068,5347,5373,5068,5373,5389,0,26,0,279
316,ping,158,5084,5365,5389,5084,5389,5405,0,24,0,281
317,pong,158,5100,5381,5405,5100,5405,5421,0,24,0,281
318,ping,159,5116,5399,5421,5116,5421,5437,0,22,0,283
319,pong,159,5132,5415,5437,5132,5437,5453,0,22,0,283
320,ping,160,5148,5469,5453,5148,5469,5485,16,0,1,321
321,pong,160,5164,5461,5485,5164,5485,5501,0,24,1,297
322,ping,161,5180,5477,5501,5180,5501,5517,0,24,0,297
323,pong,161,5196,5483,5517,5196,5517,5533,0,34,0,287
324,ping,162,5212,5501,5533,5212,5533,5549,0,32,0,289
325,pong,162,5228,5517,5549,5228,5549,5565,0,32,0,289
326,ping,163,5244,5535,5565,5244,5565,5581,0,30,0,291
327,pong,163,5260,5551,5581,5260,5581,5597,0,30,0,291
328,ping,164,5276,5569,5597,5276,5597,5613,0,28,0,293
329,pong,164,5292,5585,5613,5292,5613,5629,0,28,0,293
330,ping,165,5308,5603,5629,5308,5629,5645,0,26,0,295
331,pong,165,5324,5619,5645,5324,5645,5661,0,26,0,295
332,ping,166,5340,5637,5661,5340,5661,5677,0,24,0,297
333,pong,166,5356,5653,5677,5356,5677,5693,0,24,0,297
334,ping,167,5372,5671,5693,5372,5693,5709,0,22,0,299
335,pong,167,5388,5687,5709,5388,5709,5725,0,22,0,299
336,ping,168,5404,5741,5725,5404,5741,5757,16,0,1,337
337,pong,168,5420,5733,5757,5420,5757,5773,0,24,1,313
338,ping,169,5436,5749,5773,5436,5773,5789,0,24,0,313
339,pong,169,5452,5755,5789,5452,5789,5805,0,34,0,303
340,ping,170,5468,5773,5805,5468,5805,5821,0,32,0,305
341,pong,170,5484,5789,5821,5484,5821,5837,0,32,0,305
342,ping,171,5500,5807,5837,5500,5837,5853,0,30,0,307
343,pong,171,5516,5823,5853,5516,5853,5869,0,30,0,307
344,ping,172,5532,5841,5869,5532,5869,5885,0,28,0,309
345,pong,172,5548,5857,5885,5548,5885,5901,0,28,0,309
346,ping,173,5564,5875,5901,5564,5901,5917,0,26,0,311
347,pong,173,5580,5891,5917,5580,5917,5933,0,26,0,311
348,ping,174,5596,5909,5933,5596,5933,5949,0,24,0,313
349,pong,174,5612,5925,5949,5612,5949,5965,0,24,0,313
350,ping,175,5628,5943,5965,5628,5965,5981,0,22,0,315
351,pong,175,5644,5959,5981,5644,5981,5997,0,22,0,315
352,ping,176,5660,6013,5997,5660,6013,6029,16,0,1,353
353,pong,176,5676,6005,6029,5676,6029,6045,0,24,1,329
354,ping,177,5692,6021,6045,5692,6045,6061,0,24,0,329
355,pong,177,5708,6027,6061,5708,6061,6077,0,34,0,319
356,ping,178,5724,6045,6077,5724,6077,6093,0,32,0,321
357,pong,178,5740,6061,6093,5740,6093,6109,0,32,0,321
358,ping,179,5756,6079,6109,5756,6109,6125,0,30,0,323
359,pong,179,5772,6095,6125,5772,6125,6141,0,30,0,323
360,ping,180,5788,6113,6141,5788,6141,6157,0,28,0,325
361,pong,180,5804,6129,6157,5804,6157,6173,0,28,0,325
362,ping,181,5820,6147,6173,5820,6173,6189,0,26,0,327
363,pong,181,5836,6163,6189,5836,6189,6205,0,26,0,327
364,ping,182,5852,6181,6205,5852,6205,6221,0,24,0,329
365,pong,182,5868,6197,6221,5868,6221,6237,0,24,0,329
366,ping,183,5884,6215,6237,5884,6237,6253,0,22,0,331
367,pong,183,5900,6231,6253,5900,6253,6269,0,22,0,331
368,ping,184,5916,6285,6269,5916,6285,6301,16,0,1,369
369,pong,184,5932,6277,6301,5932,6301,6317,0,24,1,345
370,ping,185,5948,6293,6317,5948,6317,6333,0,24,0,345
371,pong,185,5964,6299,6333,5964,6333,6349,0,34,0,335
372,ping,186,5980,6317,6349,5980,6349,6365,0,32,0,337
373,pong,186,5996,6333,6365,5996,6365,6381,0,32,0,337
374,ping,187,6012,6351,6381,6012,6381,6397,0,30,0,339
375,pong,187,6028,6367,6397,6028,6397,6413,0,30,0,339
376,ping,188,6044,6385,6413,6044,6413,6429,0,28,0,341
377,pong,188,6060,6401,6429,6060,6429,6445,0,28,0,341
378,ping,189,6076,6419,6445,6076,6445,6461,0,26,0,343
379,pong,189,6092,6435,6461,6092,6461,6477,0,26,0,343
380,ping,190,6108,6453,6477,6108,6477,6493,0,24,0,345
381,pong,190,6124,6469,6493,6124,6493,6509,0,24,0,345
382,ping,191,6140,6487,6509,6140,6509,6525,0,22,0,347
383,pong,191,6156,6503,6525,6156,6525,6541,0,22,0,347
384,ping,192,6172,6557,6541,6172,6557,6573,16,0,1,385
385,pong,192,6188,6549,6573,6188,6573,6589,0,24,1,361
386,ping,193,6204,6565,6589,6204,6589,6605,0,24,0,361
387,pong,193,6220,6571,6605,6220,6605,6621,0,34,0,351
388,ping,194,6236,6589,6621,6236,6621,6637,0,32,0,353
389,pong,194,6252,6605,6637,6252,6637,6653,0,32,0,353
390,ping,195,6268,6623,6653,6268,6653,6669,0,30,0,355
391,pong,195,6284,6639,6669,6284,6669,6685,0,30,0,355
392,ping,196,6300,6657,6685,6300,6685,6701,0,28,0,357
393,pong,196,6316,6673,6701,6316,6701,6717,0,28,0,357
394,ping,197,6332,6691,6717,6332,6717,6733,0,26,0,359
395,pong,197,6348,6707,6733,6348,6733,6749,0,26,0,359
396,ping,198,6364,6725,6749,6364,6749,6765,0,24,0,361
397,pong,198,6380,6741,6765,6380,6765,6781,0,24,0,361
398,ping,199,6396,6759,6781,6396,6781,6797,0,22,0,363
399,pong,199,6412,6775,6797,6412,6797,6813,0,22,0,363
400,ping,200,6428,6829,6813,6428,6829,6845,16,0,1,401
401,pong,200,6444,6821,6845,6444,6845,6861,0,24,1,377
402,ping,201,6460,6837,6861,6460,6861,6877,0,24,0,377
403,pong,201,6476,6843,6877,6476,6877,6893,0,34,0,367
404,ping,202,6492,6861,6893,6492,6893,6909,0,32,0,369
405,pong,202,6508,6877,6909,6508,6909,6925,0,32,0,369
406,ping,203,6524,6895,6925,6524,6925,6941,0,30,0,371
407,pong,203,6540,6911,6941,6540,6941,6957,0,30,0,371
408,ping,204,6556,6929,6957,6556,6957,6973,0,28,0,373
409,pong,204,6572,6945,6973,6572,6973,6989,0,28,0,373
410,ping,205,6588,6963,6989,6588,6989,7005,0,26,0,375
411,pong,205,6604,6979,7005,6604,7005,7021,0,26,0,375
412,ping,206,6620,6997,7021,6620,7021,7037,0,24,0,377
413,pong,206,6636,7013,7037,6636,7037,7053,0,24,0,377
414,ping,207,6652,7031,7053,6652,7053,7069,0,22,0,379
415,pong,207,6668,7047,7069,6668,7069,7085,0,22,0,379
416,ping,208,6684,7101,7085,6684,7101,7117,16,0,1,417
417,pong,208,6700,7093,7117,6700,7117,7133,0,24,1,393
