大组名称,模块名称,字段,配置名,备注,硬件端口名,备注,默认值
,,2bit[115:114],general_array.PE_array.PE.inport2.mode,keep、buffer、null、constant,ga_pe_inport_mode_2,,
,,3bit[113:111],general_array.PE_array.PE.inport1.src_id,,ga_pe_src_id_1,,
,,4bit[110:107],general_array.PE_array.PE.inport1.keep_last_index,,ga_pe_keep_last_index_1,,
,,2bit[106:105],general_array.PE_array.PE.inport1.mode,,ga_pe_inport_mode_1,,
,,3bit[104:102],general_array.PE_array.PE.inport0.src_id,,ga_pe_src_id_0,,
,,4bit[101:98],general_array.PE_array.PE.inport0.keep_last_index,,ga_pe_keep_last_index_0,,
,,2bit[97:96],general_array.PE_array.PE.inport0.mode,,ga_pe_inport_mode_0,,
,,32bit[95:64],general_array.PE_array.PE.inport2.constant,当mode配置为constant时该值有效,ga_pe_constant_2,,
,,32bit[63:32],general_array.PE_array.PE.inport1.constant,,ga_pe_constant_1,,
,,32bit[31:0],general_array.PE_array.PE.inport0.constant,,ga_pe_constant_0,,
,3*Inport,8bit[15:8],general_array.inport.mask,,ga_inport_mask,,
,,1bit[7:7],general_array.inport.src_id,0表示来自buffer，1表示来自专用阵列,ga_inport_src_id,,
,,1bit[6:6],general_array.inport.pingpong,,ga_inport_pingpong_en,,
,,4bit[5:2],general_array.inport.pingpong_last_index,,ga_inport_pingpong_last_index,,
,,1bit,general_array.inport.nbr_enable,,ga_inport_nbr_enable,,
,,1bit[1:1],general_array.inport.fp16to32,,ga_inport_fp16to32,,
,,1bit[1:1],general_array.inport.bf16to32,,ga_inport_bf16to32,,
,,1bit[0:0],general_array.inport.int32tofp,,ga_inport_int32tofp32,,
,,1bit[0:0],general_array.inport.uint8tofp,,ga_inport_uint8tofp32,,
,,1bit[0:0],general_array.inport.uint8to32,,ga_inport_uint8toint32,,
,1*Outport,8bit[10:3],general_array.outport.mask,,ga_outport_mask,,
,,1bit[2:2],general_array.outport.src_id,,ga_outport_src_id,,
,,1bit[1:1],general_array.outport.fp32tofp16,,ga_outport_fp32tofp16,,
,,1bit[1:1],general_array.outport.fp32tobf16,,ga_outport_fp32tobf16,,
,,1bit[0:0],general_array.outport.int32touint8,,ga_outport_int32to8,,
